PlantGroup,IslandCode,SiteCode,PlantGroupRank,PlantType,PlantSubType,Description,Attribute,Value,Unit,StartDate,EndDate,Schedule,Source,Consent,Notes
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,88.3900000000,Mm3,2011-06-01,2025-04-30,* * * 7 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”). Also to be included if/as required over June to September, the Supplementary Pukaki Supply for Fish and Game Stakeholder Agreement"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,86.7800000000,Mm3,2011-06-01,2025-04-30,* * * 8 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”). Also to be included if/as required over June to September, the Supplementary Pukaki Supply for Fish and Game Stakeholder Agreement"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,88.0000000000,Mm3,2011-06-01,2025-04-30,* * * 9 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”). Also to be included if/as required over June to September, the Supplementary Pukaki Supply for Fish and Game Stakeholder Agreement"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Active contingent storage capacity,0E-10,Mm3,1991-02-01,2011-05-30,,Meridian,CRC905330.0-2,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Active contingent storage capacity,0E-10,Mm3,2011-05-31,9999-12-31,,Meridian,CRC905330.4,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Active storage capacity,30.2200000000,Mm3,1980-01-01,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Active storage capacity,30.2200000000,Mm3,1991-02-01,2011-05-30,,Meridian,CRC905330.0-2,"Canterbury Regional Council, 2011 / 519.75m to 520.25m"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Active storage capacity,30.2200000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905330.3,"Canterbury Regional Council, 2011 / 519.75m to 520.25m"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Available contingent storage capacity,0E-10,Mm3,1991-02-01,2011-05-30,,Meridian,CRC905330.0-2,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Available contingent storage capacity,0E-10,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905330.3,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Consented contingent storage capacity,17.8500000000,Mm3,1991-02-01,2011-05-30,,Meridian,CRC905330.0-2,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,OHA,2.00,Reservoir,Run of river,Lake Ohau,Consented contingent storage capacity,17.8500000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905330.3,"Canterbury Regional Council, 2011 / 519.45m to 519.75m / Operation of Lake Ohau below 519.75m is seen as anticipatory drawdown on rising inflow or forecast of significant rainfall in the catchment"
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Active contingent storage capacity,0E-10,Mm3,2012-09-27,9999-12-31,,Meridian,not a consent,Zero unless triggered by a public conservation campaign
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Active storage capacity,2335.9200000000,Mm3,1977-01-01,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Active storage capacity,2335.9200000000,Mm3,1991-02-01,2012-09-10,"* * * 1-4,9-12 *",Meridian,CRC905321.0-3,"Canterbury Regional Council, 2012 / 518.0m to 532.5m / Although the consented minimum level of Lake Pukaki is 518.0, operation below 518.2m requires abnormal operation. Zero storage has been pinned to 518.0m in this workbook."
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Active storage capacity,2425.4500000000,Mm3,1991-02-01,2012-09-10,* * * 5-8 *,Meridian,CRC905321.0-3,"Canterbury Regional Council, 2012 / 518.0m to 532.5m / Although the consented minimum level of Lake Pukaki is 518.0, operation below 518.2m requires abnormal operation. Zero storage has been pinned to 518.0m in this workbook."
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Active storage capacity,2425.4500000000,Mm3,2012-09-11,2025-04-30,,Meridian,CRC905321.7,"Canterbury Regional Council, 2012 / 518.0m to 532.5m / Although the consented minimum level of Lake Pukaki is 518.0, operation below 518.2m requires abnormal operation. Zero storage has been pinned to 518.0m in this workbook."
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Available contingent storage capacity,244.7600000000,Mm3,2012-09-27,2018-07-08,,Meridian,not a consent,Rule 17 of the Waitaki Catchment Water Allocation Regional Plan (WAP) (518m to 516.4m). Triggered by a public conservation campaign.
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Available contingent storage capacity,244.7600000000,Mm3,2018-07-09,2020-02-28,,Meridian,CRC185833,Rule 17 of the Waitaki Catchment Water Allocation Regional Plan (WAP) which permits access to storage between 518m and 513m in the event of an official conservation campaign and the 2018 consent to access storage between 518m and 515m triggered by Alert status of the risk meter or subsequent equivalent which is now the contingent storage release boundary under the SOSFIP. (518m-516.4m)
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Available contingent storage capacity,748.7400000000,Mm3,2020-03-01,2025-04-30,,Meridian,CRC185833,Rule 17 of the Waitaki Catchment Water Allocation Regional Plan (WAP) which permits access to storage between 518m and 513m in the event of an official conservation campaign and the 2018 consent to access storage between 518m and 515m triggered by Alert status of the risk meter or subsequent equivalent which is now the contingent storage release boundary under the SOSFIP. (518m-513m)
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Consented contingent storage capacity,748.7400000000,Mm3,2012-09-27,2018-07-08,,Meridian,not a consent,Rule 17 of the Waitaki Catchment Water Allocation Regional Plan (WAP): 518.0m to 513.0m
Waitaki river,SI,PKI,2.00,Reservoir,Controlled,Lake Pukaki,Consented contingent storage capacity,748.7400000000,Mm3,2018-07-09,2025-04-30,,Meridian,CRC185833,Rule 17 of the Waitaki Catchment Water Allocation Regional Plan (WAP) which permits access to storage between 518m and 513m in the event of an official conservation campaign and the 2018 consent to access storage between 518m and 515m triggered by Alert status of the risk meter or subsequent equivalent which is now the contingent storage release boundary under the SOSFIP.
Waitaki river,SI,OHA,2.01,Hydro arc,Canal,Lake Ohau to Ohau-Pukaki Junction,Max flow,200.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905331,"Canterbury Regional Council, 1999"
Waitaki river,SI,OHA,2.01,Hydro arc,River,Lake Ohau to Ruataniwha,Min flow,12.0000000000,cumecs,2011-05-31,2025-04-30,"* * * 11-12,1-4 *",Meridian,CRC905330.9,"Canterbury Regional Council, 2011 / Minimum flow is 8 cumecs May to Oct and 12 cumecs from Nov to Apr. Benmore Irrigation Ltd can request extra water in May, Sep and Oct."
Waitaki river,SI,OHA,2.01,Hydro arc,River,Lake Ohau to Ruataniwha,Min flow,8.0000000000,cumecs,2011-05-31,2025-04-30,* * * 5-10 *,Meridian,CRC905330.9,"Canterbury Regional Council, 2011 / Minimum flow is 8 cumecs May to Oct and 12 cumecs from Nov to Apr. Benmore Irrigation Ltd can request extra water in May, Sep and Oct."
Waitaki river,SI,OHA,2.01,Hydro arc,Spill,Lake Ohau to Ruataniwha,Max spill flow,,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905332,"Canterbury Regional Council, 1999 / Spill from Ohau - No maximum - peak a result of natural inflow"
Waitaki river,SI,PKI,2.01,Hydro arc,Spill,Lake Pukaki to Pukaki River,Max spill flow,3400.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905322.2,"Canterbury Regional Council, 2011 / Spill flow to Pukaki river and on to Benmore"
Waitaki river,SI,PKI,2.01,Hydro arc,Spill,Lake Pukaki to Pukaki River,Max spill flow,420.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905323.2,"Canterbury Regional Council, 2011 / diversion culvert from Lake Pukaki to Pukaki river and on to Benmore"
Waitaki river,SI,PKI,2.02,Hydro arc,Canal,Lake Pukaki to Ohau-Pukaki Junction,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905324,"Canterbury Regional Council, 1999"
Waitaki river,SI,OHA,2.03,Hydro arc,Canal,Ohau-Pukaki junction to Ohau A,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905333,"Canterbury Regional Council, 1999"
Waitaki river,SI,PKI,2.03,Hydro arc,Spill,Pukaki-Ohau Canal to Pukaki River,Max spill flow,560.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905325.2,"Canterbury Regional Council, 2011."
Waitaki river,SI,OHA,2.10,Hydro,Hydro,Ohau A,Generating capacity,264.0000000000,MW,1979-06-11,9999-12-31,,Meridian,,
Waitaki river,SI,OHA,2.10,Hydro,Hydro,Ohau A,Plant factor,1.9980000000,cumecs/MW,1979-06-11,9999-12-31,,Meridian,,
Waitaki river,SI,OHA,2.14,Hydro arc,Canal,Ohau A to Lake Ruataniwha,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905334,"Canterbury Regional Council, 1999 / discharge into Lake Ruataniwha from Ohau A tailrace"
Waitaki river,SI,RTH,3.00,Hydro arc,Spill,Lake Ruataniwha to Benmore,Max spill flow,1740.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905336.2,"Canterbury Regional Council, 2011"
Waitaki river,SI,RTH,3.00,Reservoir,Run of river,Lake Ruataniwha,Active storage capacity,1.4400000000,Mm3,1984-03-26,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,RTH,3.00,Reservoir,Run of river,Lake Ruataniwha,Active storage capacity,1.4400000000,Mm3,1991-02-01,2011-05-30,,Meridian,CRC905335.0-2,"Canterbury Regional Council, 2011 / 458.5m to 458.8m. The consented minimum is 458.0m. However, operation below 458.5m presents operational difficulties and are not normally used."
Waitaki river,SI,RTH,3.00,Reservoir,Run of river,Lake Ruataniwha,Active storage capacity,1.4400000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905335.3,"Canterbury Regional Council, 2011 / 458.5m to 458.8m. The consented minimum is 458.0m. However, operation below 458.5m presents operational difficulties and are not normally used."
Waitaki river,SI,RTH,3.00,Reservoir,Run of river,Lake Ruataniwha,Consented contingent storage capacity,0E-10,Mm3,2011-05-31,9999-12-31,,Meridian,,
Waitaki river,SI,RTH,3.01,Hydro arc,Canal,Lake Ruataniwha to Ohau B,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905338,"Canterbury Regional Council, 1999"
Waitaki river,SI,OHB,3.10,Hydro,Hydro,Ohau B,Generating capacity,212.0000000000,MW,1984-03-26,9999-12-31,,Meridian,,
Waitaki river,SI,OHB,3.10,Hydro,Hydro,Ohau B,Plant factor,2.4000000000,cumecs/MW,1984-03-26,9999-12-31,,Meridian,,
Waitaki river,SI,OHB,3.12,Hydro arc,Canal,Ohau B to Ohau C,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905339,"Canterbury Regional Council, 1999"
Waitaki river,SI,OHB,3.12,Hydro arc,Spill,Ohau B-Ohau C canal to Ohau River,Max spill flow,560.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905341.2,"Canterbury Regional Council, 2011 / discharge via the labyrinth weir / Spill flow goes into the Ohau River and on to Lake Benmore"
Waitaki river,SI,OHC,3.20,Hydro,Hydro,Ohau C,Generating capacity,212.0000000000,MW,1985-09-22,9999-12-31,,Meridian,,
Waitaki river,SI,OHC,3.20,Hydro,Hydro,Ohau C,Plant factor,2.4000000000,cumecs/MW,1985-09-22,9999-12-31,,Meridian,,
Waitaki river,SI,OHC,3.23,Hydro arc,Canal,Ohau C to Benmore,Max flow,560.0000000000,cumecs,1991-02-01,2025-04-30,,Meridian,CRC905343,"Canterbury Regional Council, 1999"
Waitaki river,SI,BEN,4.00,Reservoir,Run of river,Lake Benmore,Active storage capacity,68.2500000000,Mm3,1965-07-31,2001-05-30,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,BEN,4.00,Reservoir,Run of river,Lake Benmore,Active storage capacity,68.2500000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905344.4,"Canterbury Regional Council, 2011 / 360.5m to 361.45m"
Waitaki river,SI,BEN,4.00,Reservoir,Run of river,Lake Benmore,Available contingent storage capacity,0E-10,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905344.5,"Canterbury Regional Council, 2011 / 355.25m to 360.5m. In practice the consented contingent storage is unlikely to be used as there would be a significant reduction in the efficiency of the Benmore power station."
Waitaki river,SI,BEN,4.00,Reservoir,Run of river,Lake Benmore,Consented contingent storage capacity,354.9500000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905344.4,"Canterbury Regional Council, 2011 / 355.25m to 360.5m"
Waitaki river,SI,BEN,4.01,Hydro arc,Spill,Benmore to Aviemore,Max sluice flow,1700.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905347.2,"Canterbury Regional Council, 2011 / discharge from Benmore Sluice to Waitaki River"
Waitaki river,SI,BEN,4.01,Hydro arc,Spill,Benmore to Aviemore,Max spill flow,3400.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905348.2,"Canterbury Regional Council, 2011 / discharge from Benmore Spillway to Waitaki River"
Waitaki river,SI,BEN,4.10,Hydro,Hydro,Benmore,Generating capacity,540.0000000000,MW,1965-07-31,9999-12-31,,Meridian,,
Waitaki river,SI,BEN,4.10,Hydro,Hydro,Benmore,Plant factor,1.2230000000,cumecs/MW,1965-07-31,9999-12-31,,Meridian,,
Waitaki river,SI,BEN,4.12,Hydro arc,Station flow,Benmore to Aviemore,Max flow,660.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905346.2,"Canterbury Regional Council, 2011 / discharge from Benmore PS to Waitaki River"
Waitaki river,SI,AVI,5.00,Reservoir,Run of river,Lake Aviemore,Active storage capacity,16.6600000000,Mm3,1968-09-01,2011-05-30,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,AVI,5.00,Reservoir,Run of river,Lake Aviemore,Active storage capacity,16.6600000000,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905351.3,"Canterbury Regional Council, 2011 / 267.7m to 268.3m."
Waitaki river,SI,AVI,5.00,Reservoir,Run of river,Lake Aviemore,Consented contingent storage capacity,0E-10,Mm3,2011-05-31,2025-04-30,,Meridian,CRC905351.3,"Canterbury Regional Council, 2011 / 265.50m to 267.7m. Technically there is consented contingent storage available down to 265.5m. However, this storage is not significant and recorded as zero in this dataset."
Waitaki river,SI,AVI,5.01,Hydro arc,Spill,Aviemore to Waitaki,Max sluice flow,1700.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905355.2,"Canterbury Regional Council, 2011 / discharge from Aviemore sluice to Waitaki River"
Waitaki river,SI,AVI,5.01,Hydro arc,Spill,Aviemore to Waitaki,Max spill flow,5400.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905354.2,"Canterbury Regional Council, 2011 / discharge from Aviemore spillway to Waitaki River"
Waitaki river,SI,AVI,5.10,Hydro,Hydro,Aviemore,Generating capacity,220.0000000000,MW,1968-09-01,9999-12-31,,Meridian,,
Waitaki river,SI,AVI,5.10,Hydro,Hydro,Aviemore,Plant factor,3.2250000000,cumecs/MW,1968-09-01,9999-12-31,,Meridian,,
Waitaki river,SI,AVI,5.12,Hydro arc,Station flow,Aviemore to Waitaki,Max flow,710.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905353.2,"Canterbury Regional Council, 2011 / discharge from Aviemore PS to Waitaki River"
Waitaki river,SI,WTK,6.00,Reservoir,Run of river,Lake Waitaki,Active storage capacity,11.8900000000,Mm3,1965-07-31,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,WTK,6.00,Reservoir,Run of river,Lake Waitaki,Active storage capacity,11.8900000000,Mm3,1991-02-01,2025-04-30,,Meridian,CRC905360,"Canterbury Regional Council, 1999 / 228.7m to 230.8m"
Waitaki river,SI,WTK,6.00,Reservoir,Run of river,Lake Waitaki,Consented contingent storage capacity,0E-10,Mm3,1991-02-01,2025-04-30,,Meridian,CRC905360,"Canterbury Regional Council, 1999 / 227.0m to 228.7m. Technically there is consented contingent storage available down to 227.0m. However, this storage is not significant and is recorded as zero in this dataset."
Waitaki river,SI,WTK,6.01,Hydro arc,Spill,Waitaki to River,Max sluice flow,285.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905364.2,"Canterbury Regional Council, 2011 / discharge from Waitaki PS to Waitaki River"
Waitaki river,SI,WTK,6.01,Hydro arc,Spill,Waitaki to River,Max spill flow,5380.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,CRC905366.2,"Canterbury Regional Council, 2011 / discharge from Waitaki sluice to Waitaki River"
Waitaki river,SI,WTK,6.10,Hydro,Hydro,Waitaki,Generating capacity,105.0000000000,MW,1965-07-31,1999-07-05,,Meridian,,
Waitaki river,SI,WTK,6.10,Hydro,Hydro,Waitaki,Generating capacity,90.0000000000,MW,1999-07-06,2017-02-22,,Meridian,,
Waitaki river,SI,WTK,6.10,Hydro,Hydro,Waitaki,Generating capacity,105.0000000000,MW,2017-02-23,9999-12-31,,Meridian,,G3 returned to service
Waitaki river,SI,WTK,6.10,Hydro,Hydro,Waitaki,Plant factor,6.1650000000,cumecs/MW,1965-07-31,9999-12-31,,Meridian,CRC905365.2,"Canterbury Regional Council, 2011 / discharge from Waitaki spillway to Waitaki River"
Waitaki river,SI,WTK,6.11,Hydro arc,Station flow,Waitaki to River,Max flow,650.0000000000,cumecs,2011-05-31,2025-04-30,,Meridian,,
Waitaki river,SI,WTK,6.12,Hydro arc,River,Waitaki,Min flow,120.0000000000,cumecs,2011-05-31,2017-08-31,,Meridian,CRC905361.3,"Canterbury Regional Council, 2011"
Waitaki river,SI,WTK,6.12,Hydro arc,River,Waitaki,Min flow,190.0000000000,cumecs,2017-09-01,2025-04-30,"* * * 10-12,1-3 *",Meridian,CRC180721,"Canterbury Regional Council, 2017 / Consent conditions allow for flows lower than the minimum depending on actual downstream abstraction requirements OR down to an absolute minimum of 150 cumecs in the case of low catchment inflow."
Waitaki river,SI,WTK,6.12,Hydro arc,River,Waitaki,Min flow,172.0000000000,cumecs,2017-09-01,2025-04-30,"* * * 4,9 *",Meridian,CRC180721,"Canterbury Regional Council, 2017 / Consent conditions allow for flows lower than the minimum depending on actual downstream abstraction requirements OR down to an absolute minimum of 150 cumecs in the case of low catchment inflow."
Waitaki river,SI,WTK,6.12,Hydro arc,River,Waitaki,Min flow,162.0000000000,cumecs,2017-09-01,2025-04-30,"* * * 5,8 *",Meridian,CRC180721,"Canterbury Regional Council, 2017 / Consent conditions allow for flows lower than the minimum depending on actual downstream abstraction requirements OR down to an absolute minimum of 150 cumecs in the case of low catchment inflow."
Waitaki river,SI,WTK,6.12,Hydro arc,River,Waitaki,Min flow,158.0000000000,cumecs,2017-09-01,2025-04-30,* * * 6-7 *,Meridian,CRC180721,"Canterbury Regional Council, 2017 / Consent conditions allow for flows lower than the minimum depending on actual downstream abstraction requirements OR down to an absolute minimum of 150 cumecs in the case of low catchment inflow."
